gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1883565422	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/21655141/original.jpg	https://www.inaturalist.org/photos/21655141					2018-06-04T18:10:00Z	Sarah Bonnett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sarah Bonnett
1883545854	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/21491826/original.jpeg	https://www.inaturalist.org/photos/21491826					2007-06-29T21:41:07Z	Mark Conboy		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mark Conboy
1883545707	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/21490749/original.jpeg	https://www.inaturalist.org/photos/21490749					2007-06-09T17:08:52Z	Mark Conboy		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mark Conboy
1883527671	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/21357686/original.jpg	https://www.inaturalist.org/photos/21357686					2018-07-14T00:00:00Z	John Brew		iNaturalist	http://creativecommons.org/licenses/by/4.0/	John Brew
1883527671	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/21357668/original.jpg	https://www.inaturalist.org/photos/21357668					2018-07-14T00:00:00Z	John Brew		iNaturalist	http://creativecommons.org/licenses/by/4.0/	John Brew
1883527671	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/21357689/original.jpg	https://www.inaturalist.org/photos/21357689					2018-07-14T00:00:00Z	John Brew		iNaturalist	http://creativecommons.org/licenses/by/4.0/	John Brew
1883517572	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/21283388/original.jpeg	https://www.inaturalist.org/photos/21283388					2013-05-29T17:24:58Z	sydcannings		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sydcannings
1883507917	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/21212465/original.jpeg	https://www.inaturalist.org/photos/21212465					2012-07-07T17:26:25Z	Michael Butler		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Michael Butler
1883504566	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/21191380/original.jpg	https://www.inaturalist.org/photos/21191380					2018-07-10T00:00:00Z	Jody Allair		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jody Allair
1883497467	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/21144315/original.jpeg	https://www.inaturalist.org/photos/21144315					2018-07-10T23:17:06Z	ncharlton		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ncharlton
1880653213	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20910975/original.jpg	https://www.inaturalist.org/photos/20910975					2018-06-30T19:51:35Z	Cameron Eckert		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cameron Eckert
1880640216	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20817372/original.jpg	https://www.inaturalist.org/photos/20817372					2018-07-04T21:55:30Z	Jeffrey H. Skevington		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jeffrey H. Skevington
1880640201	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20817520/original.jpg	https://www.inaturalist.org/photos/20817520					2018-07-04T22:03:03Z	Jeffrey H. Skevington		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jeffrey H. Skevington
1880584229	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20414664/original.jpg	https://www.inaturalist.org/photos/20414664					2018-06-15T22:38:26Z	Jukka Jantunen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jukka Jantunen
1880574154	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20345560/original.jpeg	https://www.inaturalist.org/photos/20345560					2018-04-30T21:37:05Z	vedrfolnir		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	vedrfolnir
1880541897	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20128021/original.jpg	https://www.inaturalist.org/photos/20128021					2018-06-21T15:44:19Z	Cameron Eckert		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cameron Eckert
1880541897	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20127925/original.jpg	https://www.inaturalist.org/photos/20127925					2018-06-21T15:44:19Z	Cameron Eckert		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cameron Eckert
1880541897	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20127882/original.jpg	https://www.inaturalist.org/photos/20127882					2018-06-21T15:44:19Z	Cameron Eckert		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Cameron Eckert
1880536614	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/20092131/original.jpeg	https://www.inaturalist.org/photos/20092131					2018-06-15T22:42:52Z	sydcannings		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sydcannings
1847600089	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/18552490/original.jpeg	https://www.inaturalist.org/photos/18552490					2018-05-06T21:20:16Z	hlight		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hlight
1847599926	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/18552480/original.jpeg	https://www.inaturalist.org/photos/18552480					2018-05-06T21:20:10Z	hlight		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hlight
1847584081	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/18432987/original.jpeg	https://www.inaturalist.org/photos/18432987					2010-07-12T02:17:22Z	Brad Walker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brad Walker
1847583885	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/18432175/original.jpeg	https://www.inaturalist.org/photos/18432175					2009-06-12T22:16:41Z	Brad Walker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brad Walker
