gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1950020383				http://creativecommons.org/licenses/by-nc/4.0/	2020-08-31T07:31:05Z		https://www.inaturalist.org/observations/18970360	Cameron Eckert					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18970360	18970360		Cameron Eckert						adult																		Porcupine Herd.															2003-06-30T12:47:00-10:00	12:47:00-10:00						2003/06/30 12:47 PM HST																CA	Yukon				Yukon, YT, Canada												69.6101187339	-140.8773421431	EPSG:4326	488																																		41204248				Cameron Eckert		2018-12-11T23:47:47Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1950007643				http://creativecommons.org/licenses/by-nc/4.0/	2020-08-31T07:30:48Z		https://www.inaturalist.org/observations/18928942	crazybirdy					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18928942	18928942		crazybirdy																																							2014-06-09T21:07:31-04:00	21:07:31-04:00						2014-06-09 9:07:31 PM EDT																CA	Yukon				Top of the World Hwy, Yukon, Unorganized, YT Y0B, Canada												64.1803385574	-139.9031568691	EPSG:4326	33657																																		41085798				crazybirdy		2018-12-09T23:55:14Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1950000442				http://creativecommons.org/licenses/by-nc/4.0/	2024-04-07T00:52:40Z		https://www.inaturalist.org/observations/18907516	a_anctil					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18907516	18907516		a_anctil						adult																																	2016-08-31T16:19:00-04:00	16:19:00-04:00						2016/08/31 4:19 PM EDT																CA	Québec				Secteur rivière Delay, Nord-du-Québec, QC, Canada												56.7971455079	-71.2513916552	EPSG:4326	16310																																		41030083				a_anctil		2018-12-09T00:29:15Z				238266								Rangifer tarandus caribou								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							subspecies							
1948776207				http://creativecommons.org/licenses/by-nc/4.0/	2020-08-31T07:31:11Z		https://www.inaturalist.org/observations/18833832	lambertc					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18833832	18833832		lambertc																								Plusieurs dizaine de caribous observés en environ 8 heuresde marche dans le secteur															2018-07-29T14:31:00-04:00	14:31:00-04:00						2018/07/29 2:31 PM EDT																CA	Québec				Nord-du-Québec, QC, Canada												62.1866504987	-75.5238443439	EPSG:4326	50																																		40811365				lambertc		2018-12-05T00:55:34Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1946349086				http://creativecommons.org/licenses/by-nc/4.0/	2019-01-12T15:55:18Z		https://www.inaturalist.org/observations/18676076	Bruce Bennett					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18676076	18676076		Bruce Bennett																								Carcross Herd 2 cows 3 bulls swimming across Tagish Lake															2018-11-24T16:02:00-08:00	16:02:00-08:00						2018/11/24 4:02 PM PST																CA	Yukon				Yukon, Yukon, Canada												60.1641805556	-134.375	EPSG:4326	5																																		40356888				Bruce Bennett		2018-11-27T17:32:37Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1946321596				http://creativecommons.org/licenses/by-nc/4.0/	2020-08-31T07:32:57Z		https://www.inaturalist.org/observations/18588469	Cameron Eckert					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18588469	18588469		Cameron Eckert																								Hart River herd.															2012-06-03T12:28:00-10:00	12:28:00-10:00						2012/06/03 12:28 PM HST																CA	Yukon				Yukon, YT, Canada												64.5819070353	-138.2713970116	EPSG:4326	31																																		40118501				Cameron Eckert		2018-11-24T00:28:32Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1946318609				http://creativecommons.org/licenses/by-nc/4.0/	2020-08-31T07:32:58Z		https://www.inaturalist.org/observations/18578199	Mark Olivier					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18578199	18578199		Mark Olivier	https://orcid.org/0000-0003-3213-0486																																						2007-05-03T19:24:00-04:00	19:24:00-04:00						2007/05/03 7:24 PM EDT																CA	Yukon				Klondike Hwy south of Carcross - Yukon, YT, Canada												60.143493024	-134.6368846364	EPSG:4326	2000																																		40093699				Mark Olivier	https://orcid.org/0000-0003-3213-0486	2018-11-23T16:54:35Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1945430754				http://creativecommons.org/licenses/by-nc/4.0/	2021-02-26T18:40:00Z		https://www.inaturalist.org/observations/18432372	Cameron Eckert					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18432372	18432372		Cameron Eckert																								This photo was taken with a telephoto, and cropped; so we were nowhere close to the animals. We wondered if the calf was OK? They did eventually leave. Hart River Herd.															2018-06-02							2018/06/02 1:54 PM UTC																CA	Yukon				Yukon, YT, Canada												64.5105666667	-138.1678533333	EPSG:4326																																			39693601				Cameron Eckert		2018-11-16T19:00:09Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1945430748				http://creativecommons.org/licenses/by-nc/4.0/	2020-08-31T07:34:27Z		https://www.inaturalist.org/observations/18431758	Cameron Eckert					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18431758	18431758		Cameron Eckert						adult																		Porcupine Caribou															2018-08-16T12:12:00Z	12:12:00Z						2018/08/16 12:12 PM UTC																CA	Yukon				Yukon, YT, Canada												68.7282033333	-136.72793	EPSG:4326																																			39690847				Cameron Eckert		2018-11-16T18:25:17Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
1945430729				http://creativecommons.org/licenses/by-nc/4.0/	2020-08-31T07:34:27Z		https://www.inaturalist.org/observations/18431725	Cameron Eckert					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18431725	18431725		Cameron Eckert						adult																		Porcupine Caribou. 22 animals in photo.															2018-08-16T12:10:00Z	12:10:00Z						2018/08/16 12:10 PM UTC																CA	Yukon				Yukon, YT, Canada												68.7599633333	-136.8423683333	EPSG:4326																																			39690786				Cameron Eckert		2018-11-16T18:24:31Z				42199								Rangifer tarandus								Animalia	Chordata	Mammalia	Artiodactyla		Cervidae				Rangifer							species							
